item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q497370,Andreas Gabalier,Austrian folk singer,M00000340719
http://www.wikidata.org/entity/Q498729,Kenny Dorham,"American jazz trumpeter, singer, and composer",M00000053388
http://www.wikidata.org/entity/Q499649,Nat Adderley,American jazz cornet and trumpet player,M00000024129
http://www.wikidata.org/entity/Q504920,Carl Wilson,American musician (1946–1998),M00000067613
http://www.wikidata.org/entity/Q505138,Andrew Hill,American jazz pianist and composer (1931-2007),M00000002028
http://www.wikidata.org/entity/Q505285,Richie Havens,American singer-songwriter,M00000085423
http://www.wikidata.org/entity/Q513644,Ray Ventura,French musician,M00000100022
http://www.wikidata.org/entity/Q513963,Robin Rimbaud,British electronic musician,M00000004094
http://www.wikidata.org/entity/Q513963,Robin Rimbaud,British electronic musician,M00000022963
http://www.wikidata.org/entity/Q515141,Pedro Caldeira Cabral,guitarist,M00000096904
http://www.wikidata.org/entity/Q515172,Lina Nyberg,Swedish jazz singer,M00000050126
http://www.wikidata.org/entity/Q516281,Alexander Vertinsky,"Russian artist, poet, singer, composer, cabaret artist and actor (1889-1957)",M00000086934
http://www.wikidata.org/entity/Q517689,Lils Mackintosh,Dutch singer,M00000005497
http://www.wikidata.org/entity/Q521079,Kalevi Aho,Finnish composer,M00000000046
http://www.wikidata.org/entity/Q502957,Gabriel Yared,"Lebanese composer, conductor",M00000284432
http://www.wikidata.org/entity/Q503355,Igor Markevitch,Ukrainian conductor and composer,M00000238507
http://www.wikidata.org/entity/Q505806,Goffredo Petrassi,Italian composer,M00000238944
http://www.wikidata.org/entity/Q505995,Andrew Lockington,Canadian film score composer,M00000306025
http://www.wikidata.org/entity/Q506386,Yūji Takahashi,Japanese musician,M00000239639
http://www.wikidata.org/entity/Q506771,Sigiswald Kuijken,Belgian musician,M00000240083
http://www.wikidata.org/entity/Q664025,Harry Manfredini,American composer,M00000343029
http://www.wikidata.org/entity/Q670852,Friedrich Hegar,"Swiss composer, conductor and violinist (1841-1927)",M00000273385
http://www.wikidata.org/entity/Q671504,Franco Cesarini,"Swiss composer, conductor and flutist",M00000263213
http://www.wikidata.org/entity/Q672548,Hans Georg Nägeli,Swiss composer,M00000327203
http://www.wikidata.org/entity/Q674740,Lionel Rogg,"Swiss organist, composer and teacher of musical theory",M00000239183
http://www.wikidata.org/entity/Q678378,Armando Gentilucci,Italian composer and musicologist,M00000264953
http://www.wikidata.org/entity/Q679470,Johann Nepomuk von Poißl,German composer and noble (1783-1865),M00000523981
http://www.wikidata.org/entity/Q684702,Henri Dès,Swiss singer-songwriter,M00000276958
http://www.wikidata.org/entity/Q687061,William Lloyd Webber,British musician (1914-1982),M00000238370
http://www.wikidata.org/entity/Q688067,Rolf Liebermann,Swiss composer (1910-1999),M00000238338
http://www.wikidata.org/entity/Q688412,Ferdinand Schubert,Austrian composer (1794-1859),M00000239376
http://www.wikidata.org/entity/Q689576,Georg Matthias Monn,"Austrian composer, organist and music teacher",M00000238657
http://www.wikidata.org/entity/Q691733,Georg Reutter II,Austrian composer (1708–1772),M00000289542
http://www.wikidata.org/entity/Q692690,Arne Nordheim,Norwegian composer (1931-2010),M00000238795
http://www.wikidata.org/entity/Q693170,Pierre Maurice,Swiss composer (1868-1936),M00000273396
http://www.wikidata.org/entity/Q695136,Arnold F. Riedhammer,American musician,M00000127364
http://www.wikidata.org/entity/Q695396,Gottlieb Muffat,Austrian composer and organist,M00000238723
http://www.wikidata.org/entity/Q697194,Joseph Leopold Eybler,Austrian composer,M00000237285
http://www.wikidata.org/entity/Q698797,Johann Nicolaus Bach,German composer,M00000000262
http://www.wikidata.org/entity/Q703236,Conlon Nancarrow,American composer,M00000238739
http://www.wikidata.org/entity/Q703264,Roy Z,American musician and record producer,M00000302579
http://www.wikidata.org/entity/Q704728,Johann Caspar Ferdinand Fischer,German Bohemian composer,M00000237346
http://www.wikidata.org/entity/Q704755,Li Huanzhi,Hong Kong musician,M00000096163
http://www.wikidata.org/entity/Q705152,Kostas Paskalis,Greek opera singer (1929-2007),M00000264469
http://www.wikidata.org/entity/Q705356,Don Costa,"American recording artist, conductor, record producer, music arranger, jazz guitarist",M00000019615
http://www.wikidata.org/entity/Q705506,Art Davis,American double-bassist,M00000011934
http://www.wikidata.org/entity/Q705560,Franz Lambert,Composer and organist,M00000012505
http://www.wikidata.org/entity/Q705685,Václav Dobiáš,"Czech politician, music educator, composer, professor, choirmaster and university educator (1909-1978)",M00000237054
http://www.wikidata.org/entity/Q705747,Kees Vlak,composer,M00000268825
http://www.wikidata.org/entity/Q705819,Fabio Lione,Italian musician,M00000157564
http://www.wikidata.org/entity/Q706221,Johann Abraham Peter Schulz,German musician and composer (1747-1800),M00000257332
http://www.wikidata.org/entity/Q706498,Thomas Dunhill,British composer,M00000237148
http://www.wikidata.org/entity/Q706765,Valentyn Sylvestrov,Ukrainian pianist and composer,M00000239455
http://www.wikidata.org/entity/Q706921,Gonzalo Roig,"Cuban musician, conductor and composer",M00000288950
http://www.wikidata.org/entity/Q707248,Walter Leigh,English composer,M00000244687
http://www.wikidata.org/entity/Q708129,M. J. Cole,English house and UK garage producer and remixer,M00000126150
http://www.wikidata.org/entity/Q708699,Shawn Lane,American musician,M00000068857
http://www.wikidata.org/entity/Q708911,Bernhard Crusell,"Swedish-Finnish clarinetist, composer and translator (1775-1838)",M00000236854
http://www.wikidata.org/entity/Q709857,Jack Nitzsche,"American musician, arranger, songwriter, composer and record producer (1937-2000)",M00000238783
http://www.wikidata.org/entity/Q710073,Arthur Johnston,American composer (1898-1954),M00000291752
http://www.wikidata.org/entity/Q710695,Bobbejaan Schoepen,"musician, performer (1925–2010)",M00000079845
http://www.wikidata.org/entity/Q708405,Blagoje Bersa,Croatian composer,M00000513408
http://www.wikidata.org/entity/Q712049,Leonardo Balada,Spanish composer,M00000000263
http://www.wikidata.org/entity/Q712729,Paul Lincke,German composer,M00000238348
http://www.wikidata.org/entity/Q713060,Jean Baptiste Senaillé,French born composer and violin virtuoso (1687-1730),M00000282218
http://www.wikidata.org/entity/Q713268,Francesco Maria Veracini,Italian composer,M00000239796
http://www.wikidata.org/entity/Q713351,Bobby Freeman,American singer (1940-2017),M00000127615
http://www.wikidata.org/entity/Q713496,Bill Steer,British guitarist,M00000176781
http://www.wikidata.org/entity/Q714021,Alain Caron,Canadian bass player,M00000024630
http://www.wikidata.org/entity/Q714510,Artur Kapp,Estonian composer (1878-1952),M00000260958
http://www.wikidata.org/entity/Q716174,Francisco Mignone,Brazilian composer,M00000241109
http://www.wikidata.org/entity/Q716503,Henri Mulet,French organist and composer,M00000238727
http://www.wikidata.org/entity/Q716877,Lonnie Plaxico,American jazz bassist,M00000006136
http://www.wikidata.org/entity/Q717141,Georges Migot,French composer (1891-1976),M00000238630
http://www.wikidata.org/entity/Q717917,Filippo Azzaiolo,Italian composer,M00000277336
